epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,68542.2,0.5932,0.404,1.07673,0.90464,0.8478,0.94176,0.77149,0.77913,0.501,1.24429,0.000247625,0.000247625,0.000247625
83,69363.5,0.61024,0.41201,1.0822,0.87295,0.89124,0.93513,0.76846,0.7939,0.53109,1.25248,0.00023525,0.00023525,0.00023525
84,70194.9,0.60222,0.39909,1.06525,0.92033,0.85507,0.93929,0.7734,0.7788,0.49299,1.25371,0.000222875,0.000222875,0.000222875
85,71023.3,0.58484,0.40869,1.0677,0.92955,0.88592,0.94099,0.77425,0.78698,0.50175,1.25937,0.0002105,0.0002105,0.0002105
86,71849.9,0.57979,0.40481,1.07794,0.91616,0.85134,0.92732,0.76287,0.7719,0.55828,1.25113,0.000198125,0.000198125,0.000198125
87,72690.5,0.5765,0.37914,1.06177,0.91775,0.86566,0.92869,0.77089,0.75858,0.51589,1.23968,0.00018575,0.00018575,0.00018575
88,73567.3,0.58522,0.39049,1.07236,0.91213,0.89575,0.93644,0.77137,0.76567,0.46559,1.24726,0.000173375,0.000173375,0.000173375
89,74407.7,0.57781,0.38184,1.06637,0.93433,0.85561,0.9372,0.77297,0.77519,0.47586,1.24965,0.000161,0.000161,0.000161
90,75307.1,0.56631,0.37365,1.05276,0.9395,0.84377,0.93025,0.76561,0.7797,0.49848,1.25187,0.000148625,0.000148625,0.000148625
91,76120.9,0.49667,0.35189,1.03209,0.9306,0.87839,0.95501,0.78301,0.78603,0.46223,1.27439,0.00013625,0.00013625,0.00013625
92,76959.8,0.482,0.30253,1.0255,0.95298,0.82789,0.94519,0.76371,0.78537,0.49666,1.28036,0.000123875,0.000123875,0.000123875
93,77794.2,0.46661,0.2862,1.02851,0.93675,0.8537,0.94669,0.76903,0.77989,0.49699,1.26803,0.0001115,0.0001115,0.0001115
94,78611.8,0.45757,0.27491,1.01737,0.93818,0.85105,0.94328,0.77063,0.77873,0.48998,1.26844,9.9125e-05,9.9125e-05,9.9125e-05
95,79442.1,0.44946,0.27325,0.99684,0.92245,0.84744,0.93591,0.75909,0.78498,0.50657,1.28287,8.675e-05,8.675e-05,8.675e-05
96,80276.1,0.43924,0.26834,0.98621,0.92741,0.84955,0.9384,0.76407,0.78148,0.51867,1.27216,7.4375e-05,7.4375e-05,7.4375e-05
97,81101.3,0.44852,0.27007,0.99713,0.92025,0.87927,0.94209,0.76765,0.78354,0.50565,1.26866,6.2e-05,6.2e-05,6.2e-05
98,82002.4,0.43897,0.26048,0.98701,0.91082,0.87063,0.93953,0.7664,0.7705,0.50732,1.25854,4.9625e-05,4.9625e-05,4.9625e-05
99,82842.5,0.43426,0.25872,0.99316,0.8571,0.92605,0.94294,0.77137,0.77596,0.49891,1.27061,3.725e-05,3.725e-05,3.725e-05
100,83661.2,0.43007,0.26277,0.98716,0.90366,0.89198,0.94416,0.77096,0.7695,0.50339,1.26345,2.4875e-05,2.4875e-05,2.4875e-05
